"mydate","v1","v2","v3","v4","v5","v6","mys"
"2018/07/06(五)","02","03","21","28","32","47","27"
"2018/07/03(二)","09","11","20","31","34","44","10"
"2018/06/29(五)","04","13","27","30","37","41","20"
"2018/06/26(二)","05","09","11","23","37","44","24"
"2018/06/22(五)","06","07","11","25","26","30","31"
"2018/06/19(二)","08","09","28","34","37","42","15"
"2018/06/15(五)","16","25","28","30","44","46","27"
"2018/06/12(二)","02","03","14","15","35","37","29"
"2018/06/08(五)","02","09","17","31","32","40","47"
"2018/06/05(二)","02","17","22","25","26","41","16"
"2018/06/01(五)","16","26","28","33","42","49","20"
"2018/05/29(二)","11","14","20","26","37","41","02"
"2018/05/25(五)","01","06","22","24","32","42","16"
"2018/05/22(二)","02","13","24","29","41","49","45"
"2018/05/18(五)","01","11","36","38","41","42","48"
"2018/05/15(二)","02","12","13","16","32","43","24"
"2018/05/11(五)","04","11","25","35","37","48","36"
"2018/05/08(二)","03","08","21","22","37","41","46"
"2018/05/04(五)","10","22","30","33","36","47","43"
"2018/05/01(二)","08","29","33","34","46","49","19"
"2018/04/27(五)","04","25","26","27","30","48","11"
"2018/04/24(二)","09","10","19","21","35","36","49"
"2018/04/20(五)","10","14","32","33","35","46","43"
"2018/04/17(二)","07","16","31","38","40","41","39"
"2018/04/13(五)","01","12","25","28","40","46","39"
"2018/04/10(二)","07","27","32","34","41","47","09"
"2018/04/06(五)","07","25","31","34","47","49","26"
"2018/04/03(二)","01","07","22","32","34","36","08"
"2018/03/30(五)","01","05","13","43","44","47","25"
"2018/03/27(二)","13","15","24","30","38","40","44"
"2018/03/23(五)","04","09","13","32","34","41","42"
"2018/03/20(二)","08","09","23","30","37","41","31"
"2018/03/16(五)","03","14","16","17","43","46","04"
"2018/03/13(二)","14","20","22","27","28","38","19"
"2018/03/09(五)","12","15","18","27","30","38","19"
"2018/03/06(二)","09","11","13","17","38","42","29"
"2018/03/02(五)","01","12","17","25","31","48","21"
"2018/02/27(二)","01","03","18","23","28","44","10"
"2018/02/23(五)","03","07","15","16","18","41","42"
"2018/02/20(二)","12","33","34","38","40","46","07"
"2018/02/19(一)","07","09","19","22","36","49","29"
"2018/02/18(日)","07","08","20","28","34","46","10"
"2018/02/17(六)","03","05","17","32","33","47","36"
"2018/02/16(五)","04","07","23","24","27","41","17"
"2018/02/15(四)","07","21","22","37","41","48","15"
"2018/02/13(二)","04","10","19","26","35","45","38"
"2018/02/09(五)","12","17","20","21","30","45","09"
"2018/02/06(二)","06","10","24","27","41","43","49"
"2018/02/02(五)","01","02","10","11","26","43","40"
"2018/01/30(二)","07","08","15","23","31","36","30"
"2018/01/26(五)","07","23","32","34","43","47","24"
"2018/01/23(二)","02","12","26","28","33","34","44"
"2018/01/19(五)","02","13","16","22","26","48","39"
"2018/01/16(二)","08","26","29","32","36","39","23"
"2018/01/12(五)","01","07","14","22","40","45","29"
"2018/01/09(二)","02","10","22","23","24","37","42"
"2018/01/05(五)","04","13","17","29","31","44","14"
"2018/01/02(二)","02","06","12","18","36","46","47"
"2017/12/29(五)","11","12","15","20","27","47","36"
"2017/12/26(二)","07","08","10","20","24","27","19"
"2017/12/22(五)","12","18","20","21","31","37","24"
"2017/12/19(二)","03","14","18","31","41","42","02"
"2017/12/15(五)","17","19","24","27","31","37","08"
"2017/12/12(二)","16","19","28","37","38","41","10"
"2017/12/08(五)","01","05","08","10","34","35","46"
"2017/12/05(二)","01","12","13","37","41","43","49"
"2017/12/01(五)","02","03","05","28","42","48","09"
"2017/11/28(二)","09","14","17","19","46","47","29"
"2017/11/24(五)","04","08","10","14","41","45","38"
"2017/11/21(二)","04","23","25","28","39","43","41"
"2017/11/17(五)","02","14","19","28","39","46","45"
